,PlayerID,Completions,Pass Attempts,Interceptions,Pass Yards,Passing TDs,Rush Attempts,Net Rush Yards,Rushing TDs,Yards Per Rush,Catches,Receiving Yards,Receiving TDs,Total Yards,Total TDs,First,Last,Start,End
49,969,40.0,82.0,5.0,543.0,2.0,33.0,-13.0,0.0,-8.1,0.0,0.0,0.0,530.0,2.0,Vince,Matthews,1956.0,1958.0
50,5911,1.0,3.0,1.0,27.0,1.0,961.0,5709.0,58.0,271.3,94.0,953.0,3.0,6689.0,62.0,Ricky,Williams,1995.0,1998.0
51,6747,0.0,0.0,0.0,0.0,0.0,1084.0,5454.0,63.0,230.0,68.0,620.0,3.0,6074.0,66.0,Cedric,Benson,2001.0,2004.0
52,3174,0.0,1.0,1.0,0.0,0.0,836.0,4745.0,40.0,257.6,6.0,128.0,1.0,4873.0,41.0,Earl,Campbell,1974.0,1977.0
53,2268,0.0,0.0,0.0,0.0,0.0,634.0,3469.0,30.0,174.2,7.0,124.0,0.0,3593.0,30.0,Chris,Gilbert,1966.0,1968.0
54,9632,0.0,0.0,0.0,0.0,0.0,539.0,3410.0,33.0,203.5,60.0,805.0,8.0,4215.0,41.0,Bijan,Robinson,2020.0,2022.0
55,7354,0.0,0.0,0.0,0.0,0.0,533.0,3328.0,36.0,236.5,49.0,539.0,3.0,3867.0,39.0,Jamaal,Charles,2005.0,2007.0
57,2934,0.0,0.0,0.0,0.0,0.0,593.0,3091.0,26.0,158.29999999999998,2.0,17.0,0.0,3108.0,26.0,Roosevelt,Leaks,1972.0,1974.0
58,4611,3.0,7.0,1.0,44.0,2.0,604.0,2756.0,24.0,170.9,130.0,1439.0,7.0,4239.0,33.0,Eric,Metcalf,1985.0,1988.0
59,8803,0.0,0.0,0.0,0.0,0.0,431.0,2745.0,20.0,142.6,13.0,146.0,0.0,2891.0,20.0,D'Onta,Foreman,2014.0,2016.0
60,6220,0.0,0.0,0.0,0.0,0.0,538.0,2667.0,19.0,165.7,75.0,763.0,4.0,3430.0,23.0,Hodges,Mitchell,1997.0,2000.0
